No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
2,0.072173,52.115.97.218,192.168.1.106,UDP,125,3481  >  50058 Len=83
3,0.115618,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
4,0.210673,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
5,0.210837,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
6,0.211054,192.168.1.106,52.115.97.218,UDP,101,50058  >  3481 Len=59
7,0.255378,192.168.1.106,52.115.97.218,UDP,177,50058  >  3481 Len=135
8,0.31624,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
9,0.328738,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
10,0.340675,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
11,0.436212,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
12,0.493328,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
13,0.620346,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
14,0.685105,192.168.1.106,52.114.45.50,STUN,264,"Allocate Request bandwidth: 350 realm: \223I\253\341}\240,M2\232x\034\366\360\364\257\317Q\t\375 with nonce[Malformed Packet]"
15,0.68724,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
16,0.816255,52.114.45.50,192.168.1.106,STUN,195,Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 52.114.45.50:3480 XOR-MAPPED-ADDRESS: 103.132.174.28:50021[Malformed Packet]
17,0.836777,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
18,0.857132,52.115.97.218,192.168.1.106,UDP,125,3480  >  50021 Len=83
19,0.862599,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
20,0.881487,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
21,0.924232,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
22,1.083578,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
23,1.111336,192.168.1.106,52.114.45.185,STUN,264,Allocate Request bandwidth: 350 realm: \352\354d5\264\372G\004\360\262\267\034\363W\005K7\244\244\226 with nonce[Malformed Packet]
24,1.160332,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
25,1.215095,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
26,1.233838,52.114.45.185,192.168.1.106,STUN,195,Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 52.114.45.185:3479 XOR-MAPPED-ADDRESS: 103.132.174.28:50013[Malformed Packet]
27,1.277834,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
28,1.300571,192.168.1.106,52.115.97.218,UDP,141,50021  >  3480 Len=99
29,1.387639,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
30,1.427525,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
31,1.427745,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
32,1.49209,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
33,1.505457,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
34,1.536623,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
35,1.681136,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
36,1.706427,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
37,1.711152,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
38,1.724836,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
39,1.873735,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
40,1.925369,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
41,1.927355,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
42,1.995617,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
43,2.133727,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
44,2.217324,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
45,2.343719,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
46,2.36505,192.168.1.106,52.115.97.218,UDP,177,50058  >  3481 Len=135
47,2.452691,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
48,2.541347,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
49,2.55356,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
50,2.55761,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
51,2.557858,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
52,2.653535,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
53,2.665496,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
54,2.73514,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
55,2.762596,192.168.1.106,52.115.97.218,UDP,93,50047  >  3481 Len=51
56,2.762682,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
57,2.762717,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
58,2.767133,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
59,2.768499,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
60,2.869189,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
61,2.905192,192.168.1.106,52.115.97.218,UDP,237,50013  >  3479 Len=195
62,2.912167,52.115.97.218,192.168.1.106,UDP,125,3481  >  50058 Len=83
